;LAP Innertank Orifice Flow Temperatures (R)
#I=-20,-1,1; LAP_Innertank_Prelaunch_Venting_Analysis_c1f_30mph_lin.vsm C:\0_afc_work\LAP_Innertank_Prelaunch_Venting_Analysis_using_VISSIM\VISSIM\LAP_Innertank_Prelaunch_Venting_Analysis_c1f_30mph_lin.vsm @ Sun Oct 28 10:12:00 2018
-20	550.34	580	580	580	580
-19	580.94	580.94	580.94	580.94	580.94
-18	581.75	581.75	581.75	581.75	581.75
-17	582.56	582.56	582.56	582.56	582.56
-16	583.36	583.36	583.36	583.36	583.36
-15	584.15	584.15	584.15	584.15	584.15
-14	584.94	584.94	584.94	584.94	584.94
-13	585.72	585.72	585.72	585.72	585.72
-12	586.5	586.5	586.5	586.5	586.5
-11	587.27	587.27	587.27	587.27	587.27
-10	588.04	588.04	588.04	588.04	588.04
-9	588.8	588.8	588.8	588.8	588.8
-8	589.56	589.56	589.56	589.56	589.56
-7	590.31	590.31	590.31	590.31	590.31
-6	591.06	591.06	591.06	591.06	591.06
-5	591.8	591.8	591.8	591.8	591.8
-4	592.54	592.54	592.54	592.54	592.54
-3	593.27	593.27	593.27	593.27	593.27
-2	594	594	594	594	594
-1.01	594.72	594.72	594.72	594.72	594.72
