;LAP Innertank Orifice Flow Mdot (lbm/s)
#I=-20,-1,1; LAP_Innertank_Prelaunch_Venting_Analysis_c1f_30mph_lin.vsm C:\0_afc_work\LAP_Innertank_Prelaunch_Venting_Analysis_using_VISSIM\VISSIM\LAP_Innertank_Prelaunch_Venting_Analysis_c1f_30mph_lin.vsm @ Sun Oct 28 10:12:00 2018
-20	0.27443	0	-0.38071	0	-0.45688
-19	-0.0058486	0	-0.46466	0	-0.5287
-18	-0.0051614	0	-0.46433	0	-0.52832
-17	-0.0044798	0	-0.464	0	-0.52795
-16	-0.0038035	0	-0.46367	0	-0.52759
-15	-0.0031325	0	-0.46335	0	-0.52722
-14	-0.0024669	0	-0.46304	0	-0.52686
-13	-0.0018066	0	-0.46272	0	-0.52651
-12	-0.0019648	0	-0.46242	0	-0.52616
-11	-0.0027062	0	-0.46212	0	-0.52582
-10	-0.0040876	0	-0.46183	0	-0.52548
-9	-0.0041364	0	-0.46153	0	-0.52514
-8	-0.0042457	0	-0.46123	0	-0.52481
-7	-0.004121	0	-0.46094	0	-0.52447
-6	-0.0041393	0	-0.46065	0	-0.52414
-5	-0.0040686	0	-0.46036	0	-0.52381
-4	-0.003906	0	-0.46007	0	-0.52348
-3	-0.003636	0	-0.45978	0	-0.52316
-2	-0.0032166	0	-0.4595	0	-0.52283
-1.01	-0.0025062	0	-0.45921	0	-0.52251
