;LAP Innertank Orifice Flow Velocities (ft/s)
#I=-20,-1,1; LAP_Innertank_Prelaunch_Venting_Analysis_c1f_30mph_lin.vsm C:\0_afc_work\LAP_Innertank_Prelaunch_Venting_Analysis_using_VISSIM\VISSIM\LAP_Innertank_Prelaunch_Venting_Analysis_c1f_30mph_lin.vsm @ Sun Oct 28 10:12:00 2018
-20	45.577	-31.717	-66.774	-78.041	-80.201
-19	-1.0244	-56.584	-81.616	-91.082	-92.943
-18	-0.90527	-56.621	-81.671	-91.145	-93.007
-17	-0.7868	-56.658	-81.727	-91.207	-93.07
-16	-0.66894	-56.696	-81.782	-91.268	-93.133
-15	-0.55169	-56.733	-81.836	-91.33	-93.196
-14	-0.43505	-56.77	-81.891	-91.391	-93.258
-13	-0.31903	-56.808	-81.945	-91.451	-93.32
-12	-0.34742	-56.845	-82	-91.512	-93.382
-11	-0.47915	-56.884	-82.054	-91.573	-93.444
-10	-0.72467	-56.924	-82.11	-91.634	-93.506
-9	-0.73428	-56.961	-82.163	-91.694	-93.567
-8	-0.75466	-56.997	-82.216	-91.753	-93.627
-7	-0.73342	-57.034	-82.268	-91.811	-93.687
-6	-0.7376	-57.07	-82.32	-91.869	-93.746
-5	-0.72592	-57.105	-82.372	-91.927	-93.805
-4	-0.69778	-57.141	-82.423	-91.984	-93.863
-3	-0.65035	-57.175	-82.473	-92.041	-93.921
-2	-0.57604	-57.21	-82.524	-92.097	-93.978
-1.01	-0.44936	-57.243	-82.573	-92.151	-94.034
